season;field;p2o5;k2o;humus;ph;crop;region;yield_plan;yield_fact;fact_plan_dif;fact_plan_dif_abs;fact_plan_div;fact_plan_share_dif
2023;22.47.11.022.00;268,8;131,6;3,5;5,2;Соя;Алтай;1,4;1,4;0;0;0;0
2023;50.33.05.020.02;139;80;1,4;5,6;Яр,пшеница мягкая;Москва;3,8;3,8;0;0;0;0
2024;36.14.07.010.00;22;101;4,3;6;Подсолнечник;Воронеж;1,7;1,7;0;0;0;0
2023;46.22.05.027.00;68;101;5,2;5,1;Гречиха;Курск;1,8;1,8;-2,22E-16;2,22E-16;-1,23E-16;-1,11E-16
2023;54.17.08.020.00;200;180;3;5,5;Оз,пшеница мягкая;Новосибирск;3,86;3,859597189;-0,000402811;0,000402811;-0,000104355;-0,000104355
2024;54.17.01.011.00;172,6;111,5;3,1;3,7;Клевер кр,пр,лет сем,;Новосибирск;0,1;0,097166952;-0,002833048;0,002833048;-0,028330482;-0,028330482
2023;62.23.06.092.00;242,48;344,58;4,75;5,46;Соя;Рязань;1,7;1,696994424;-0,003005576;0,003005576;-0,001767986;-0,001767986
2023;36.14.16.016.00;44;53;2,4;4,6;Кукуруза зерно;Воронеж;6,48;6,483212961;0,003212961;0,003212961;0,000495827;0,000495827
2023;22.47.11.033.01;304;147,5;3,2;5,2;Соя;Алтай;1,4;1,396710885;-0,003289115;0,003289115;-0,002349368;-0,002349368
2024;54.17.02.022.00;155,15;336,4;4,38;5,17;Мн,травосм,пр,лет корм;Новосибирск;1,6;1,595394951;-0,004605049;0,004605049;-0,002878156;-0,002878156
2023;46.22.05.015.00;86;124;5;5;Лён масличный;Курск;1,22;1,215;-0,005;0,005;-0,004098361;-0,004098361
2023;36.11.01.030.01;85;107;6;5,8;Подсолнечник кондит,;Воронеж;2;2,007248173;0,007248173;0,007248173;0,003624087;0,003624087
2023;46.22.01.013.00;37;86;6,1;4,9;Яр,пшеница мягкая;Курск;5;4,991789137;-0,008210863;0,008210863;-0,001642173;-0,001642173
2024;16.13.19.012.00;77,4;186,3;7,15;6,59;Яр,пшеница твёрдая;Татарстан;2,7;2,691554358;-0,008445642;0,008445642;-0,003128016;-0,003128016
2024;36.02.11.034.00;171;130;7,2;5,4;Кукуруза силос;Воронеж;8,9;8,909858574;0,009858574;0,009858574;0,001107705;0,001107705
2023;36.02.18.024.00;187;128;4,8;5,6;Кукуруза зерно;Воронеж;6,51;6,5;-0,01;0,01;-0,001536098;-0,001536098
2023;62.24.14.026.00;110;181;4;5;Кукуруза силос;Рязань;7,7;7,69;-0,01;0,01;-0,001298701;-0,001298701
2024;16.13.12.026.00;218;200;7,4;5,6;Подсолнечник;Татарстан;2,2;2,21;0,01;0,01;0,004545455;0,004545455
2024;16.13.17.027.00;182,5;124,5;6,5;6,1;Подсолнечник;Татарстан;2,2;2,21;0,01;0,01;0,004545455;0,004545455
2023;46.22.05.024.00;74;92;5,1;5,3;Лён масличный;Курск;1,22;1,23;0,01;0,01;0,008196721;0,008196721
2023;54.17.12.044.00;170,3;146,8;6,3;5,4;Одн,тр,(вика+овёс)корм;Новосибирск;3,2;3,19;-0,01;0,01;-0,003125;-0,003125
2024;36.11.06.039.00;114;90;6;7;Оз,пшеница мягкая;Воронеж;3;3,011931943;0,011931943;0,011931943;0,003977314;0,003977314
2023;62.18.11.007.00;232,38;191,93;4,5;5,21;Соя;Рязань;1,7;1,715692321;0,015692321;0,015692321;0,009230777;0,009230777
2024;62.23.06.093.00;123,55;187,25;4,4;5,12;Соя;Рязань;2;2,017241379;0,017241379;0,017241379;0,00862069;0,00862069
2023;36.14.04.007.00;73;172;6,4;5,6;Кукуруза зерно;Воронеж;7,5;7,48269787;-0,01730213;0,01730213;-0,002306951;-0,002306951
2024;36.14.02.005.00;142;116;4;5;Люцерна 1 г,ж,корм;Воронеж;2,1;2,119205298;0,019205298;0,019205298;0,00914538;0,00914538
2024;54.17.08.010.00;192,4;114,8;2,4;4,3;Клевер кр,пр,лет сем,;Новосибирск;0,1;0,08073456;-0,01926544;0,01926544;-0,192654404;-0,192654404
2023;36.11.01.024.01;37;100,67;3,93;5,9;Кукуруза силос;Воронеж;7,5;7,48;-0,02;0,02;-0,002666667;-0,002666667
2023;40.16.03.012.01;62;79;2;4,8;Кормовые бобы;Калуга;1,2;1,22;0,02;0,02;0,016666667;0,016666667
2023;46.22.05.020.00;90;94;5,1;5,4;Гречиха;Курск;1,8;1,82;0,02;0,02;0,011111111;0,011111111
2023;62.01.01.015.00;217;305;6;5,8;Соя;Рязань;1,71;1,69;-0,02;0,02;-0,011695906;-0,011695906
2024;40.16.08.068.02;41;73;2,3;5,3;Мн,травосм,пр,лет корм;Калуга;3,1;3,08;-0,02;0,02;-0,006451613;-0,006451613
2023;50.33.02.051.02;76;49;2,1;5,1;Оз,пшеница мягкая;Москва;4,46;4,48;0,02;0,02;0,004484305;0,004484305
2024;54.17.08.014.02;190;80;4;5;Тимофеевка пр,лет сем,;Новосибирск;0,1;0,079326425;-0,020673575;0,020673575;-0,206735751;-0,206735751
2024;54.17.08.007.00;180;80;4;4,5;Фестулолиум пр,лет сем,;Новосибирск;0,1;0,078331797;-0,021668203;0,021668203;-0,216682028;-0,216682028
2024;36.14.01.028.00;151;125;5;5,4;Кукуруза силос;Воронеж;6,9;6,921687289;0,021687289;0,021687289;0,003143085;0,003143085
2024;36.14.07.027.00;83;117;5,6;6,7;Подсолнечник;Воронеж;1,7;1,721855137;0,021855137;0,021855137;0,012855963;0,012855963
2024;36.14.01.013.00;91;79;3,8;5;Люцерна 1 г,ж,корм;Воронеж;2,1;2,077454192;-0,022545808;0,022545808;-0,010736099;-0,010736099
2024;54.17.09.025.01;237,7;113,5;2,5;4,5;Клевер бел,пр,лет сем,;Новосибирск;0,2;0,177109005;-0,022890995;0,022890995;-0,114454976;-0,114454976
2023;50.33.01.020.00;370;453;3,5;6;Яр,пшеница мягкая;Москва;3,8;3,774078947;-0,025921053;0,025921053;-0,00682133;-0,00682133
2023;46.22.02.006.00;191;182;4,2;6,4;Гречиха;Курск;1,8;1,826666667;0,026666667;0,026666667;0,014814815;0,014814815
2023;22.47.11.023.00;353,5;291,8;3,5;5,2;Соя;Алтай;1,4;1,427538293;0,027538293;0,027538293;0,019670209;0,019670209
2023;40.14.03.023.00;29;60;1,6;4,5;Кукуруза силос;Калуга;7,65;7,62;-0,03;0,03;-0,003921569;-0,003921569
2023;36.02.06.021.00;96;73;4,9;5,5;Люцерна 1 г,ж,корм;Воронеж;2,97;3;0,03;0,03;0,01010101;0,01010101
2023;62.01.03.001.00;508;469;5,7;5,5;Соя;Рязань;1,71;1,68;-0,03;0,03;-0,01754386;-0,01754386
2024;16.13.17.020.00;163,25;128,25;6,6;5,72;Подсолнечник;Татарстан;2,2;2,23;0,03;0,03;0,013636364;0,013636364
2023;62.01.01.017.00;140;121;4,9;5,3;Соя;Рязань;1,71;1,74;0,03;0,03;0,01754386;0,01754386
2023;16.13.12.014.00;225;200;8,3;5,6;Гречиха;Татарстан;1,53;1,5;-0,03;0,03;-0,019607843;-0,019607843
2024;62.24.11.040.00;117;134;3,2;5,5;Соя;Рязань;1,5;1,47;-0,03;0,03;-0,02;-0,02
2024;47.22.06.005.00;181,5;91,5;3,55;5,05;Мн,травосм,пр,лет корм;СПб;4;4,03;0,03;0,03;0,0075;0,0075
2023;54.17.01.039.02;141;29;2,9;4,2;Оз,пшеница мягкая;Новосибирск;3,86;3,89;0,03;0,03;0,007772021;0,007772021
2023;50.33.05.019.00;62;42;1,4;5,5;Яр,пшеница мягкая;Москва;3,8;3,768233831;-0,031766169;0,031766169;-0,008359518;-0,008359518
2024;54.17.04.015.00;120,6;125,9;6,8;5,5;Яр,ячмень;Новосибирск;1,7;1,66804285;-0,03195715;0,03195715;-0,018798324;-0,018798324
2023;16.13.18.048.00;82,67;218,67;7,45;6,92;Кукуруза силос;Татарстан;4,68;4,647756054;-0,032243946;0,032243946;-0,006889732;-0,006889732
2023;62.10.03.010.00;72,56;115,75;3,88;4,74;Соя;Рязань;1,7;1,667157793;-0,032842207;0,032842207;-0,019318945;-0,019318945
2023;16.13.13.026.00;240;237;7,1;5,85;Чечевица;Татарстан;1,89;1,856633663;-0,033366337;0,033366337;-0,017654146;-0,017654146
2024;54.17.12.024.00;284;159;6,7;5;Кукуруза силос;Новосибирск;9;8,966382876;-0,033617124;0,033617124;-0,003735236;-0,003735236
2023;16.13.18.026.00;112,2;124,1;5,15;6,88;Кукуруза силос;Татарстан;4,68;4,715588915;0,035588915;0,035588915;0,007604469;0,007604469
2023;16.13.12.046.00;216,83;157,33;8,5;5,3;Гречиха;Татарстан;1,53;1,567292762;0,037292762;0,037292762;0,024374354;0,024374354
2023;36.14.08.005.00;76;90;2,8;5,5;Люцерна пр,лет сем,;Воронеж;0,11;0,148419543;0,038419543;0,038419543;0,349268576;0,349268576
2023;54.17.08.014.01;190;80;4;5;Тимофеевка пр,лет сем,;Новосибирск;0,31;0,271447368;-0,038552632;0,038552632;-0,124363328;-0,124363328
2024;36.14.19.007.00;191;240;5,8;4,9;Соя;Воронеж;1,3;1,260704698;-0,039295302;0,039295302;-0,030227155;-0,030227155
2023;36.05.07.055.00;90;102;5,9;5,6;Кукуруза силос;Воронеж;7,5;7,539698977;0,039698977;0,039698977;0,005293197;0,005293197
2023;36.14.02.038.00;119;170;4;5,1;Кукуруза зерно;Воронеж;6,48;6,52;0,04;0,04;0,00617284;0,00617284
2023;62.01.03.064.00;188;344;6,7;5;Соя;Рязань;1,71;1,75;0,04;0,04;0,023391813;0,023391813
2023;36.02.02.002.01;109;123;7;5,4;Кукуруза зерно;Воронеж;6,51;6,55;0,04;0,04;0,006144393;0,006144393
2023;36.02.19.080.00;86;77;4,4;5,1;Кукуруза силос;Воронеж;7,65;7,69;0,04;0,04;0,005228758;0,005228758
2023;50.33.02.043.00;93;67;2,5;5,3;Оз,пшеница мягкая;Москва;4,46;4,42;-0,04;0,04;-0,00896861;-0,00896861
2023;62.01.01.010.00;108;166;5,6;5,2;Чечевица;Рязань;1,88;1,92;0,04;0,04;0,021276596;0,021276596
2023;16.13.19.044.00;111;132,67;7,3;6,53;Яр,пшеница твёрдая;Татарстан;2,38;2,42;0,04;0,04;0,016806723;0,016806723
2024;36.02.18.018.01;154;132;4,9;5,5;Люцерна 1 г,ж,сем,;Воронеж;0,2;0,16;-0,04;0,04;-0,2;-0,2
2024;36.02.03.007.00;71;125;5,6;5,2;Кукуруза силос;Воронеж;8,9;8,858158067;-0,041841933;0,041841933;-0,004701341;-0,004701341
2023;62.10.02.010.02;160,98;121,1;1,41;5,24;Кукуруза зерно;Рязань;5,8;5,842084822;0,042084822;0,042084822;0,007256004;0,007256004
