,season,field,p2o5,k2o,humus,ph,crop,region,yield_plan,yield_fact,кг_fert,л_fert,кг_pp,л_pp
0,2023,22.47.01.001.01,221.05,206.3,4.05,5.25,Оз.пшеница мягкая,Алтай,3.8,190.59240480700146,4457166.035,0.0,13.94,127.39000000000001
1,2023,22.47.01.003.00,186.5,174.8,5.9,5.4,Оз.пшеница мягкая,Алтай,3.8,1.8516174734356552,8226128.0649999995,0.0,20.58,182.256
2,2023,22.47.01.004.00,166.6,147.9,5.6,5.4,Оз.пшеница мягкая,Алтай,3.8,1.4181857291203086,4386226.595,0.0,12.27,108.668
3,2023,22.47.01.006.02,194.7,195.9,4.0,5.15,Оз.пшеница мягкая,Алтай,3.8,2.187347228801516,586686.335,0.0,2.89,26.345999999999997
4,2023,22.47.01.007.02,184.2,171.4,4.4,5.05,Оз.пшеница мягкая,Алтай,3.8,2.1090707188778492,1013707.99,0.0,3.89,35.592
5,2023,22.47.01.008.00,249.0,151.5,3.7,5.2,Оз.пшеница мягкая,Алтай,3.8,2.03,200298.675,0.0,1.47,13.447999999999999
6,2023,22.47.01.010.00,192.7,151.6,4.1,5.2,Оз.пшеница мягкая,Алтай,3.8,2.4934719774409593,662659.665,0.0,2.59,23.606
7,2023,22.47.01.011.00,250.6,144.4,4.8,5.2,Оз.пшеница мягкая,Алтай,3.8,2.128764669549104,786662.99,0.0,3.68,33.676
8,2023,22.47.01.012.00,249.2,164.2,4.1,5.2,Оз.пшеница мягкая,Алтай,3.8,1.4655949895615867,121391.17000000001,0.0,1.09,9.966
9,2023,22.47.01.013.01,209.3,173.55,4.9,5.25,Оз.пшеница мягкая,Алтай,3.8,2.429483278346111,8353208.635,0.0,19.18,148.64600000000002
10,2023,22.47.01.030.00,236.4,112.9,3.3,6.1,Яр.пшеница мягкая,Алтай,3.3,1.2385434026638673,1345456.85,0.0,5.664999999999999,65.88285714285715
11,2023,22.47.01.031.00,215.1,150.6,3.9,6.1,Яр.пшеница мягкая,Алтай,3.3,1.9299999999999997,502715.73,0.0,4.49,47.63333333333333
12,2023,22.47.01.032.00,219.8,144.0,3.1,6.1,Яр.пшеница мягкая,Алтай,3.3,1.173312101910828,1807690.63,0.0,16.59,89.29666666666667
13,2023,22.47.01.035.00,263.4,229.8,3.9,5.8,Яр.пшеница мягкая,Алтай,3.3,1.68,793421.2,0.0,6.08,60.69333333333333
14,2023,22.47.05.004.00,146.9,294.3,3.3,5.0,Кукуруза силос,Алтай,8.5,8.138310554290053,2424279.475,94024.1,0.0,472.525
15,2023,22.47.05.005.00,161.4,255.2,3.3,5.0,Кукуруза силос,Алтай,8.5,8.71097882365833,5496889.880000001,91501.86,0.0,545.72
16,2023,22.47.05.006.01,140.9,261.8,3.5,5.3,Люцерна пр.лет корм,Алтай,3.8,0.3175,0.0,0.0,0.0,0.0
17,2023,22.47.05.007.01,168.15,227.55,3.45,5.05,Люцерна пр.лет корм,Алтай,3.8,0.545,0.0,0.0,0.0,0.0
18,2023,22.47.05.007.02,168.15,227.55,3.45,5.05,Одн.тр.(вика+овёс)корм,Алтай,3.0,0.0,2047706.13,0.0,0.0,0.0
19,2023,22.47.10.001.00,158.2,273.3,3.7,5.1,Одн.тр.(вика+овёс)корм,Алтай,3.0,2.16,3669320.73,0.0,0.0,0.0
20,2023,22.47.10.002.00,160.5,252.1,4.1,5.4,Кукуруза силос,Алтай,8.5,7.8150957704124995,1754115.3900000001,45630.65,0.0,228.69
21,2023,22.47.10.003.00,145.4,266.3,3.4,5.5,Оз.пшеница мягкая,Алтай,3.8,1.4778763404139061,10908119.52,0.0,26.65,236.026
22,2023,22.47.10.004.00,156.7,250.3,3.4,5.7,Оз.пшеница мягкая,Алтай,3.8,1.1145520188623637,1401544.77,0.0,12.350000000000001,109.394
23,2023,22.47.10.005.02,177.5,295.8,3.2,5.1,Одн.тр.(вика+овёс)корм,Алтай,3.0,3.56,3244796.48,0.0,0.0,0.0
24,2023,22.47.10.006.01,148.05,221.45,3.7,5.5,Кукуруза силос,Алтай,8.5,6.2413256484149855,1338216.685,5806.2,115.83,34.25666666666667
25,2023,22.47.10.006.02,148.05,221.45,3.7,5.5,Кукуруза силос,Алтай,8.5,9.0948,1218334.0,0.0,0.0,149.5
26,2023,22.47.10.007.00,141.8,213.4,3.6,5.5,Одн.тр.(вика+овёс)корм,Алтай,3.0,3.82,3853680.27,0.0,0.0,0.0
27,2023,22.47.10.009.00,151.2,234.2,3.2,5.4,Кукуруза силос,Алтай,8.5,7.768857589984351,1935091.035,1817.4,0.0,152.92
28,2023,22.47.10.010.00,174.8,331.8,2.5,5.4,Оз.пшеница мягкая,Алтай,3.8,2.12,431717.805,0.0,2.67,23.584
29,2023,22.47.10.011.01,147.85,242.8,3.8,5.85,Кукуруза силос,Алтай,8.5,7.722785714285715,994370.0,38220.0,0.0,209.3
30,2023,22.47.10.011.02,147.85,242.8,3.8,5.85,Кукуруза силос,Алтай,8.5,8.112800641368253,528123.9299999999,17066.23,0.0,139.85999999999999
31,2023,22.47.10.012.01,134.2,233.57,3.33,5.6,Кукуруза силос,Алтай,8.5,7.193455834945197,704747.375,11727.81,100.82,0.0
32,2023,22.47.10.012.02,134.2,233.57,3.33,5.6,Кукуруза силос,Алтай,8.5,7.300694854655682,1207721.01,32279.12,167.26,0.0
33,2023,22.47.10.014.00,156.6,265.1,3.0,5.7,Кукуруза силос,Алтай,8.5,8.253189832989554,9166781.6,93933.64,245.7,166.81
34,2023,22.47.10.015.01,135.6,223.4,3.6,5.5,Кукуруза силос,Алтай,8.5,6.394418575144326,1646481.53,24229.14,204.92000000000002,0.0
35,2023,22.47.10.016.00,173.9,288.5,3.6,5.1,Кукуруза силос,Алтай,8.5,2.920576358211717,3562193.48,106561.79,562.0799999999999,0.0
36,2023,22.47.10.017.00,136.6,195.3,3.7,5.8,Кукуруза силос,Алтай,8.5,7.833004478219569,262676.25,10589.4,0.0,143.7
37,2023,22.47.10.018.00,102.0,194.0,3.7,5.3,Кукуруза силос,Алтай,8.5,6.94,21386.02,0.0,0.0,16.205
38,2023,22.47.10.019.00,148.3,223.8,4.0,5.7,Кукуруза силос,Алтай,8.5,9.100693529639674,335285.78,5196.02,67.11,0.0
39,2023,22.47.11.001.00,227.6,99.2,3.0,5.3,Одн.тр.(вика+овёс)корм,Алтай,3.0,3.09,4894839.25,0.0,0.0,376.92333333333335
40,2023,22.47.11.002.00,215.1,111.5,3.4,5.3,Яр.пшеница мягкая,Алтай,3.3,1.686516477378514,2176484.13,0.0,11.16,118.70166666666667
