,season,field,p2o5,k2o,humus,ph,crop,region,yield_plan,yield_fact,кг_fert,л_fert,кг_pp,л_pp,fact_plan_diff
0,2023,22.47.01.001.01,221.05,206.3,4.05,5.25,Оз.пшеница мягкая,Алтай,3.8,190.59240480700146,4457166.035,0.0,13.94,127.39000000000001,186.79240480700145
6144,2024,54.17.01.005.02,180.43,346.43,4.14,5.04,Луг,Новосибирск,2.0,0.9,0.0,0.0,0.0,0.0,-1.1
14,2023,22.47.05.004.00,146.9,294.3,3.3,5.0,Кукуруза силос,Алтай,8.5,8.138310554290053,2424279.475,94024.1,0.0,472.525,-0.3616894457099473
4112,2024,36.02.17.019.00,127.0,139.0,3.4,5.2,Оз.пшеница мягкая,Воронеж,3.5,872.7783222890021,496261.35333333333,0.0,14.973333333333331,56.94,869.2783222890021
4115,2024,36.02.17.022.00,90.0,79.0,5.4,5.8,Оз.пшеница мягкая,Воронеж,3.5,236.55727182736092,399695.14,0.0,15.543333333333331,59.096666666666664,233.05727182736092
19,2023,22.47.10.001.00,158.2,273.3,3.7,5.1,Одн.тр.(вика+овёс)корм,Алтай,3.0,2.16,3669320.73,0.0,0.0,0.0,-0.8399999999999999
6163,2024,54.17.02.022.00,155.15,336.4,4.38,5.17,Мн.травосм.пр.лет корм,Новосибирск,1.6,1.5953949511400651,0.0,0.0,0.0,0.0,-0.004605048859934957
4118,2024,36.02.18.004.00,172.0,133.0,4.9,5.3,Соя,Воронеж,2.5,1580.055324142745,0.0,0.0,9.98,190.8975,1577.555324142745
23,2023,22.47.10.005.02,177.5,295.8,3.2,5.1,Одн.тр.(вика+овёс)корм,Алтай,3.0,3.56,3244796.48,0.0,0.0,0.0,0.56
6164,2024,54.17.02.023.01,191.55,347.98,5.4,5.18,Кл.кр.+фестул.пр.лет корм,Новосибирск,2.2,0.33014783180026286,0.0,0.0,0.0,0.0,-1.8698521681997373
6165,2024,54.17.02.024.02,149.54,272.23,5.14,4.87,Пастбище на пашне,Новосибирск,2.9,0.67,0.0,0.0,0.0,0.0,-2.23
6166,2024,54.17.03.002.00,128.0,309.4,4.46,5.02,Кл.кр.+фестул.пр.лет корм,Новосибирск,1.5,0.67,0.0,0.0,0.0,0.0,-0.83
4124,2024,36.02.18.010.00,233.0,163.0,5.0,5.5,Соя,Воронеж,2.5,1209.0615407720547,0.0,0.0,7.715,132.1925,1206.5615407720547
28,2023,22.47.10.010.00,174.8,331.8,2.5,5.4,Оз.пшеница мягкая,Алтай,3.8,2.12,431717.805,0.0,2.67,23.584,-1.6799999999999997
35,2023,22.47.10.016.00,173.9,288.5,3.6,5.1,Кукуруза силос,Алтай,8.5,2.920576358211717,3562193.48,106561.79,562.0799999999999,0.0,-5.579423641788283
4135,2024,36.02.18.024.00,187.0,128.0,4.8,5.6,Соя,Воронеж,2.5,1830.14,0.0,0.0,3.875,81.39999999999999,1827.64
4136,2024,36.02.18.026.00,87.0,88.0,4.7,5.5,Соя,Воронеж,2.5,894.5809439124488,0.0,0.0,6.365,105.12875,892.0809439124488
4137,2024,36.02.18.027.00,125.0,104.0,4.4,5.6,Соя,Воронеж,2.5,1402.97,0.0,0.0,1.855,104.85285714285715,1400.47
4139,2024,36.02.18.029.00,148.0,118.0,4.0,5.3,Соя,Воронеж,2.5,1445.86,0.0,0.0,7.075,146.27666666666667,1443.36
49,2023,22.47.11.014.00,283.8,122.2,3.0,5.1,Одн.тр.(вика+овёс)корм,Алтай,3.0,3.65,6365022.68,0.0,1.31,405.95000000000005,0.6499999999999999
4146,2024,36.02.19.010.01,110.0,132.0,6.0,5.1,Яр.ячмень,Воронеж,5.1,3163.7,500820.225,0.0,2.8,37.33428571428572,3158.6
53,2023,22.47.11.018.00,285.8,148.2,3.4,5.2,Яр.ячмень,Алтай,3.33,2.52,279107.32,0.0,1.56,20.513333333333332,-0.81
55,2023,22.47.11.020.00,287.3,115.0,2.9,5.0,Соя,Алтай,1.4,1.62,31758.6,0.0,0.46,33.505714285714284,0.2200000000000002
56,2023,22.47.11.021.00,298.6,132.8,3.4,5.0,Соя,Алтай,1.4,1.675,174523.65,0.0,0.43,30.48625,0.27500000000000013
