iter	RMSE
0	1354.119345
1	1353.170647
2	1352.785345
3	1351.850704
4	1351.273164
5	1350.933537
6	1350.534427
7	1350.057797
8	1349.658792
9	1349.253072
10	1348.785702
11	1348.445621
12	1348.137163
13	1348.00672
14	1347.358983
15	1346.574798
16	1346.225947
17	1345.87008
18	1344.837773
19	1344.469161
20	1343.540087
21	1343.111169
22	1342.757893
23	1342.352069
24	1341.357527
25	1341.229061
26	1340.409808
27	1340.07089
28	1339.770987
29	1339.469759
30	1338.915756
31	1338.616552
32	1338.074872
33	1337.443096
34	1336.643136
35	1336.156415
36	1335.67035
37	1335.357804
38	1334.368677
39	1333.930293
40	1333.453096
41	1333.151766
42	1332.875683
43	1332.264239
44	1331.687336
45	1331.178489
46	1330.749324
47	1330.137443
48	1329.348413
49	1328.546188
50	1327.955809
51	1327.140497
52	1326.607904
53	1326.263089
54	1326.185978
55	1325.844303
56	1325.395481
57	1325.087994
58	1324.215876
59	1323.27805
60	1322.950665
61	1322.21144
62	1321.754816
63	1321.178498
64	1320.280696
65	1319.995643
66	1319.737829
67	1319.1555
68	1318.928741
69	1318.504038
70	1317.924041
71	1317.155171
72	1316.898858
73	1316.185815
74	1316.088634
75	1315.484529
76	1315.181875
77	1314.398965
78	1314.14288
79	1313.682557
80	1312.95864
81	1312.542088
82	1312.12037
83	1311.685724
84	1311.126852
85	1310.401197
86	1309.693531
87	1309.576556
88	1309.259634
89	1308.686738
90	1308.486668
91	1307.742224
92	1307.038687
93	1306.775448
94	1306.563505
95	1306.100068
96	1305.411719
97	1305.159741
98	1304.463663
99	1304.205678
100	1303.983598
101	1303.105644
102	1302.717987
103	1302.532869
104	1301.816353
105	1301.397011
106	1301.302329
107	1301.14615
108	1300.647474
109	1300.555954
110	1300.441142
111	1299.595461
112	1299.230458
113	1298.649696
114	1298.147166
115	1297.806233
116	1297.560345
117	1297.21835
118	1296.800248
119	1296.502829
120	1296.284443
121	1296.202174
122	1295.867036
123	1295.768962
124	1295.354946
125	1294.821656
126	1294.661321
127	1294.355028
128	1293.818224
129	1293.401886
130	1292.793249
131	1292.611709
132	1292.053226
133	1291.965195
134	1291.399389
135	1291.194735
136	1291.081801
137	1290.994083
138	1290.47116
139	1290.383818
140	1290.183461
141	1289.999556
142	1289.797642
143	1289.159938
144	1288.986693
145	1288.430265
146	1288.362418
147	1287.998293
148	1287.728212
149	1287.547112
150	1287.385095
151	1287.294279
152	1286.967051
153	1286.326519
154	1286.057612
155	1285.949782
156	1285.591899
157	1285.50528
158	1284.929594
159	1284.406836
160	1283.770461
161	1283.648104
162	1283.287729
163	1282.746429
164	1282.143208
165	1281.618633
166	1281.464259
167	1280.974822
168	1280.382627
169	1280.187784
170	1279.623052
171	1279.44191
172	1279.074598
173	1278.52148
174	1278.051085
175	1277.888281
176	1277.328951
177	1277.189012
178	1276.622324
179	1276.344098
180	1276.276422
181	1276.096192
182	1275.584975
183	1275.446449
184	1275.218369
185	1275.049877
186	1274.486337
187	1274.010766
188	1273.530086
189	1273.439542
190	1272.96163
191	1272.661102
192	1272.206812
193	1271.871985
194	1271.316082
195	1270.991764
196	1270.478958
197	1270.304094
198	1270.218402
199	1270.029372
200	1269.906815
201	1269.699292
202	1269.222681
203	1268.754641
204	1268.679947
205	1268.467391
206	1268.410462
207	1268.238779
208	1268.010954
209	1267.897887
210	1267.609743
211	1267.45113
212	1267.351701
213	1267.252675
214	1266.670912
215	1266.602436
216	1266.269943
217	1265.829119
218	1265.733517
219	1265.27631
220	1265.204112
221	1264.825936
222	1264.78228
223	1264.718224
224	1264.235979
225	1263.817149
226	1263.554624
227	1263.099951
228	1262.697484
229	1262.462902
230	1262.253136
231	1261.788528
232	1261.736535
233	1261.685785
234	1261.201722
235	1260.723631
236	1260.578987
237	1260.493752
238	1260.347431
239	1260.06297
240	1259.955122
241	1259.381202
242	1259.135769
243	1259.074899
244	1258.624295
245	1258.18534
246	1257.888087
247	1257.624663
248	1257.446116
249	1257.006961
250	1256.899268
251	1256.236452
252	1256.177423
253	1256.099436
254	1255.767786
255	1255.684954
256	1255.419007
257	1255.260102
258	1255.191777
259	1255.145113
260	1255.021383
261	1254.564451
262	1254.109732
263	1254.061345
264	1253.766865
265	1253.289826
266	1252.8269
267	1252.374681
268	1252.329217
269	1252.249436
270	1252.127819
271	1251.748
272	1251.315762
273	1250.851654
274	1250.43867
275	1250.19415
276	1249.752418
277	1249.717174
278	1249.287416
279	1248.785757
280	1248.733543
281	1248.448177
282	1248.016994
283	1247.576914
284	1247.526301
285	1247.373032
286	1247.134888
287	1247.086256
288	1247.027832
289	1246.967453
290	1246.579551
291	1246.402322
292	1246.263828
293	1246.019923
294	1245.565164
295	1245.387939
296	1245.262128
297	1245.056106
298	1244.980931
299	1244.547459
300	1244.478953
301	1244.096886
302	1243.673213
303	1243.606134
304	1243.500825
305	1243.412483
306	1243.158274
307	1243.085073
308	1243.050114
309	1242.865039
310	1242.802684
311	1242.734845
312	1242.536362
313	1242.134339
314	1242.051296
315	1241.758041
316	1241.387576
317	1241.232749
318	1241.176568
319	1240.735331
320	1240.63415
321	1240.453883
322	1240.415303
323	1239.998265
324	1239.930847
325	1239.805735
326	1239.715754
327	1239.263009
328	1239.142686
329	1238.984156
330	1238.91215
331	1238.639808
332	1238.570143
333	1238.457636
334	1238.089027
335	1237.942906
336	1237.532401
337	1237.172213
338	1237.087704
339	1236.892234
340	1236.479719
341	1236.010729
342	1235.940794
343	1235.570182
344	1235.241532
345	1235.182565
346	1234.962262
347	1234.849399
348	1234.456088
349	1234.406696
350	1234.354024
351	1233.955134
352	1233.872065
353	1233.458987
354	1233.078278
355	1233.020917
356	1232.892617
357	1232.692106
358	1232.634643
359	1232.520329
360	1232.142874
