iter	Passed	Remaining
0	26	53013
1	47	47498
2	69	46396
3	95	47479
4	116	46369
5	119	39749
6	142	40663
7	162	40570
8	192	42681
9	214	42636
10	242	43893
11	270	44761
12	298	45563
13	302	42955
14	325	43010
15	347	43118
16	369	43096
17	394	43449
18	416	43472
19	445	44060
20	471	44427
21	493	44349
22	515	44335
23	536	44200
24	558	44152
25	582	44254
26	606	44288
27	626	44123
28	650	44183
29	680	44694
30	702	44597
31	724	44570
32	746	44481
33	766	44345
34	791	44443
35	813	44357
36	835	44316
37	856	44246
38	878	44192
39	906	44436
40	936	44762
41	959	44709
42	979	44585
43	1000	44488
44	1021	44373
45	1044	44388
46	1065	44287
47	1086	44166
48	1110	44214
49	1132	44151
50	1154	44101
51	1180	44211
52	1199	44077
53	1225	44154
54	1246	44092
55	1275	44271
56	1307	44560
57	1350	45212
58	1420	46739
59	1463	47310
60	1493	47476
61	1521	47573
62	1550	47685
63	1572	47576
64	1596	47512
65	1616	47357
66	1628	46971
67	1649	46856
68	1670	46740
69	1691	46626
70	1712	46517
71	1733	46427
72	1754	46316
73	1776	46231
74	1783	45788
75	1805	45707
76	1825	45578
77	1849	45584
78	1874	45573
79	1905	45721
80	1925	45617
81	1947	45556
82	1969	45485
83	1991	45415
84	2012	45350
85	2035	45294
86	2059	45289
87	2081	45225
88	2102	45135
89	2123	45067
90	2146	45027
91	2167	44958
92	2191	44944
93	2217	44954
94	2248	45091
95	2273	45088
96	2295	45032
97	2318	45006
98	2341	44970
99	2378	45188
100	2409	45300
101	2441	45428
102	2466	45430
103	2487	45357
104	2509	45286
105	2532	45247
106	2552	45166
107	2573	45083
108	2596	45041
109	2616	44956
110	2639	44920
111	2667	44972
112	2689	44905
113	2712	44870
114	2734	44825
115	2756	44769
116	2779	44736
117	2808	44797
118	2834	44811
119	2855	44731
120	2858	44392
121	2880	44334
122	2903	44311
123	2911	44047
124	2933	43997
125	2954	43943
126	2974	43871
127	2995	43810
128	3016	43746
129	3037	43690
130	3060	43659
131	3084	43646
132	3105	43590
133	3125	43523
134	3147	43477
135	3168	43428
136	3193	43432
137	3215	43391
138	3241	43401
139	3270	43452
140	3296	43465
141	3319	43430
142	3326	43196
143	3349	43166
144	3370	43122
