,season,field,inv_item_name,inv_item_weight,inv_item_unit,inv_item_dose,inv_item_date,yield_fact
3253,2023,02.09.02.002.01,Удобрение 57,1879808.13,кг,130.0,2023-04-25,1.5675000000000001
16239,2024,02.09.02.003.00,Удобрение 12,1095063.89,кг,130.0,2024-05-02,
16240,2024,02.09.02.013.00,Удобрение 12,81640.47,кг,130.0,2024-05-02,
3254,2023,02.09.02.015.00,Удобрение 57,171677.43,кг,130.0,2023-04-25,1.22875
19032,2024,02.09.02.015.00,Удобрение 23,1716.77,л,1.3,2024-06-20,
6292,2023,02.09.02.019.00,Удобрение 38,502828.64,кг,195.0,2023-05-20,0.7166666666666667
16241,2024,02.09.02.019.00,Удобрение 12,335219.09,кг,130.0,2024-05-02,
14811,2024,02.09.03.032.00,Удобрение 57,1248000.0,кг,195.0,2024-04-16,0.0026923076923076926
14812,2024,02.09.03.032.00,Удобрение 57,126004.4,кг,195.0,2024-04-16,0.0026923076923076926
18837,2024,02.09.06.004.01,Удобрение 23,4136.71,л,1.3,2024-06-16,
14977,2024,02.09.06.004.04,Удобрение 57,373663.71,кг,260.0,2024-04-18,1.105
18111,2024,02.09.06.004.04,Удобрение 57,186831.85,кг,130.0,2024-06-02,1.105
19220,2024,02.09.06.004.04,Удобрение 23,1868.32,л,1.3,2024-06-25,1.105
14978,2024,02.09.06.011.01,Удобрение 57,4449606.82,кг,260.0,2024-04-18,1.570909090909091
18112,2024,02.09.06.011.01,Удобрение 57,123483.41,кг,130.0,2024-06-02,1.570909090909091
18113,2024,02.09.06.011.01,Удобрение 57,1300000.0,кг,130.0,2024-06-02,1.570909090909091
19221,2024,02.09.06.011.01,Удобрение 23,3765.57,л,1.3,2024-06-25,1.570909090909091
19255,2024,02.09.06.011.01,Удобрение 23,2080.0,л,1.3,2024-06-26,1.570909090909091
19292,2024,02.09.06.011.01,Удобрение 23,1779.7,л,1.3,2024-06-27,1.570909090909091
3352,2023,02.09.06.011.02,Удобрение 57,117000.0,кг,130.0,2023-04-27,1.88
3414,2023,02.09.06.011.02,Удобрение 57,669807.89,кг,130.0,2023-04-28,1.88
7069,2023,02.09.06.011.02,Удобрение 24,20200.38,л,1.95,2023-05-27,1.88
19445,2024,02.09.06.011.02,Удобрение 23,2348.13,л,1.3,2024-06-30,1.9649999999999999
19446,2024,02.09.06.011.02,Удобрение 23,2005.79,л,1.3,2024-06-30,1.9649999999999999
19447,2024,02.09.06.011.02,Удобрение 23,520.0,л,1.3,2024-06-30,1.9649999999999999
5859,2023,02.09.06.012.01,Удобрение 24,2123.55,л,1.95,2023-05-17,300.2255555555555
5860,2023,02.09.06.012.01,Удобрение 24,1124.29,л,1.95,2023-05-17,300.2255555555555
8985,2023,02.09.06.012.01,Удобрение 68,3840.54,л,1.18,2023-06-21,300.2255555555555
16144,2024,02.09.06.012.01,Удобрение 12,422518.21,кг,130.0,2024-05-01,
19448,2024,02.09.06.012.02,Удобрение 23,3250.0,л,1.3,2024-06-30,2.26
19481,2024,02.09.06.012.02,Удобрение 23,3505.74,л,1.3,2024-07-01,2.26
14906,2024,02.09.06.016.01,Удобрение 57,26000.0,кг,260.0,2024-04-17,0.813
14907,2024,02.09.06.016.01,Удобрение 57,416000.0,кг,260.0,2024-04-17,0.813
14979,2024,02.09.06.016.01,Удобрение 57,3329348.26,кг,260.0,2024-04-18,0.813
18033,2024,02.09.06.016.01,Удобрение 57,69730.13,кг,130.0,2024-06-01,0.813
18114,2024,02.09.06.016.01,Удобрение 57,2548000.0,кг,130.0,2024-06-02,0.813
19222,2024,02.09.06.016.01,Удобрение 23,34607.54,л,1.3,2024-06-25,0.813
7324,2023,02.09.06.016.02,Удобрение 24,74.96,л,1.95,2023-05-29,546.45
14908,2024,02.09.06.019.00,Удобрение 57,6161356.14,кг,260.0,2024-04-17,0.6325
18034,2024,02.09.06.019.00,Удобрение 57,3080678.07,кг,130.0,2024-06-01,0.6325
19223,2024,02.09.06.019.00,Удобрение 23,6927.7,л,1.3,2024-06-25,0.6325
19224,2024,02.09.06.019.00,Удобрение 23,8516.67,л,1.3,2024-06-25,0.6325
7325,2023,02.09.06.021.00,Удобрение 24,4204.0,л,1.95,2023-05-29,0.24666666666666667
19033,2024,02.09.06.022.00,Удобрение 23,13000.0,л,1.3,2024-06-20,0.925
19293,2024,02.09.06.022.00,Удобрение 23,208.69,л,1.3,2024-06-27,0.925
3255,2023,02.09.06.023.00,Удобрение 57,468000.0,кг,130.0,2023-04-25,0.96
3299,2023,02.09.06.023.00,Удобрение 57,216509.29,кг,130.0,2023-04-26,0.96
3300,2023,02.09.06.023.00,Удобрение 57,1076530.0,кг,130.0,2023-04-26,0.96
